,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FN1,1962.854613,1.58004596,0.196078954,8.058212902,7.74E-16,1.33E-12
TCEA3,29.98151003,-3.080375198,0.43680976,-7.051983453,1.76E-12,NA
GNLY,32.31154359,-2.534246974,0.394816563,-6.418795999,1.37E-10,NA
NKG7,29.18299133,-2.616984327,0.434910438,-6.017294822,1.77E-09,NA
AC013457.1,30.48075109,3.186650125,0.558035935,5.710474766,1.13E-08,NA
FAM213A,69.22765614,1.654077655,0.300432819,5.505649022,3.68E-08,NA
LSP1,179.9492047,-1.171843817,0.215368245,-5.441116998,5.29E-08,4.55E-05
C15orf48,149.5452792,1.600953479,0.312736559,5.119175968,3.07E-07,0.000131879
NEAT1,869.7362259,0.8019375,0.166578452,4.814173091,1.48E-06,0.000508173
CST7,10.75222137,-3.296340348,0.694143803,-4.748785962,2.05E-06,NA
ALDH2,1751.10028,-0.781002032,0.164790085,-4.739375139,2.14E-06,0.000614194
GZMA,15.77399996,-2.731009984,0.582330705,-4.689792177,2.73E-06,NA
C1QC,2481.922757,-0.941367483,0.207996612,-4.525878916,6.01E-06,0.00147699
TRBC1,14.21017065,-2.708467489,0.619383819,-4.372841859,1.23E-05,NA
MGLL,71.57860868,-1.455237759,0.333006166,-4.370002443,1.24E-05,NA
CTNNB1,215.0352144,1.241884812,0.29077885,4.270891128,1.95E-05,0.004183475
RNF130,289.7528197,-0.770240148,0.183845891,-4.189596749,2.79E-05,0.005337507
OAS1,124.2190977,-0.999057389,0.241180032,-4.142371915,3.44E-05,0.005908759
IFITM2,55.35221038,-1.316631232,0.319315287,-4.123295327,3.73E-05,NA
CCL5,27.33733553,-1.831609585,0.451537061,-4.05638815,4.98E-05,NA
CPVL,273.4786985,-0.73620912,0.182161936,-4.041509085,5.31E-05,0.007607767
LGALS3,4957.426525,-0.623528881,0.155517729,-4.009374923,6.09E-05,0.007976487
MAP3K7CL,21.27812838,2.403506168,0.600945947,3.999538027,6.35E-05,NA
NCEH1,175.7125891,0.904718075,0.226518222,3.994018973,6.50E-05,0.007976487
NME2,35.27562041,-1.781842667,0.451315855,-3.948105627,7.88E-05,NA
TFRC,315.6315637,0.734761574,0.186628449,3.937028783,8.25E-05,0.009454124
EIF4EBP3,17.67568307,-2.354737959,0.598436852,-3.934814428,8.33E-05,NA
PLBD1,546.4177042,-0.730299527,0.188872771,-3.86662156,0.000110353,0.011856101
LTB,45.35456857,-1.192687838,0.316815964,-3.764607763,0.000166811,NA
B3GNT5,56.10877268,1.436793353,0.383654949,3.745014515,0.000180383,NA
ACOT2,137.691634,-1.204104302,0.323275226,-3.724703306,0.000195545,0.017691683
GATD3A,10.74035353,3.136924385,0.845453133,3.71034687,0.000206975,NA
FADS1,51.92662265,1.535019205,0.413796095,3.70960293,0.000207585,NA
IFITM1,5.997238255,-3.586232048,0.97318092,-3.685062021,0.000228647,NA
RASGEF1B,96.42072676,1.082395443,0.294299826,3.677866403,0.000235193,0.020214846
CORO1A,23.77696171,-1.581309828,0.431518485,-3.664523959,0.000247799,NA
AC008637.1,15.1293988,2.629071798,0.727697724,3.612862472,0.000302835,NA
LIMD2,10.17791207,-2.609781488,0.722793201,-3.610689037,0.000305385,NA
C1orf56,55.80481486,1.589318763,0.440433375,3.6085339,0.000307932,NA
KLRB1,5.048309549,-4.058086203,1.138469841,-3.564509183,0.000364538,NA
IGKC,15.77099648,-2.577346199,0.726259085,-3.548797189,0.000386995,NA
NR1D2,15.02154661,2.217351361,0.627424182,3.534054673,0.000409236,NA
CD247,6.13041473,-3.356600395,0.950087041,-3.532939877,0.000410966,NA
ISOC2,102.89028,0.877574145,0.250223253,3.507164637,0.000452909,0.03577495
MS4A6A,152.9043501,-0.96769633,0.277155964,-3.491522669,0.000480276,0.035811325
AC114291.1,2.801712903,-5.632414761,1.615477186,-3.48653315,0.000489325,NA
COMT,548.3107583,-0.607565169,0.174549312,-3.480765191,0.000499984,0.035811325
GLDN,221.3769741,0.780357786,0.226034001,3.452391155,0.000555642,0.038205916
EBP,87.10183904,1.070040912,0.311698071,3.432940436,0.000597073,NA
FGFBP2,4.417016613,-3.938044087,1.150121768,-3.424023608,0.000617013,NA
CHML,22.06611381,1.797373973,0.52593806,3.417463213,0.000632076,NA
CALR,510.9958549,0.56125957,0.165270685,3.396001948,0.000683779,0.043533912
TRAF3IP3,7.604113307,-3.472464762,1.02442468,-3.389673082,0.00069976,NA
HBEGF,125.0180872,0.870463029,0.257157835,3.384936837,0.000711946,0.043708421
TSC22D1,49.827388,1.442188122,0.431177199,3.344768985,0.000823511,NA
MCF2L2,4.226740464,4.906785207,1.470378763,3.33708928,0.000846607,NA
FPR2,36.66077461,1.263093061,0.379269746,3.33032907,0.000867434,NA
SQLE,51.24557346,1.44476922,0.433928492,3.329509924,0.00086999,NA
NGRN,12.06963316,-1.954905494,0.587741652,-3.326130604,0.000880607,NA
IL32,23.99875575,-1.469584682,0.442613322,-3.320245029,0.000899385,NA
MARCO,2737.415224,-0.497508321,0.151538333,-3.283052619,0.001026895,0.060870084
CCNG2,20.82369658,1.681633411,0.519192718,3.238938747,0.001199753,NA
ZEB2,192.7628054,0.663515795,0.205029488,3.23619691,0.001211338,0.064824639
