,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FN1,303.7192064,2.013189612,0.285168961,7.059637918,1.67E-12,9.63E-10
VAMP5,96.52430132,2.001394365,0.384778401,5.20142076,1.98E-07,5.71E-05
LYZ,2166.809633,-1.027490966,0.234025563,-4.390507394,1.13E-05,0.00217503
GBP4,48.15166004,1.731341849,0.415137476,4.170526505,3.04E-05,NA
MGLL,33.10382069,-1.673714302,0.412511086,-4.057380174,4.96E-05,NA
AC013457.1,6.463456727,5.424568968,1.357609184,3.995677867,6.45E-05,NA
IER3,20.50266365,-1.879340971,0.470580158,-3.993668109,6.51E-05,NA
MT1E,7.612172484,-3.657408654,0.927597082,-3.942885035,8.05E-05,NA
SCGB3A1,6.49022725,-3.957546644,1.02509534,-3.86066202,0.00011308,NA
G0S2,16.77848622,-2.739717524,0.710197469,-3.857684157,0.000114466,NA
WARS,54.70276092,1.506818109,0.399544158,3.771343111,0.000162371,NA
POLD4,32.37049182,-1.537022311,0.410823208,-3.741322986,0.000183054,NA
PTX3,6.861185769,-4.109781106,1.103508119,-3.72428715,0.000195868,NA
VMO1,86.13619259,-1.398437663,0.377653699,-3.702962974,0.000213096,0.019342581
SOD2,275.250776,-0.851250059,0.231488915,-3.677282163,0.000235732,0.019342581
CEBPD,38.45179457,-1.475169362,0.401260289,-3.676340282,0.000236604,NA
LGMN,15.12888248,2.388282583,0.656303512,3.638991017,0.000273708,NA
TMA7,119.8112642,-0.975985424,0.27006936,-3.613832478,0.000301704,0.019342581
PLEK,174.8939743,-1.244454433,0.361046301,-3.44680012,0.000567268,0.029149209
PNRC1,157.7519527,-0.829143092,0.241816227,-3.428814944,0.000606223,0.029149209
MGST1,37.16404209,1.491716856,0.44255211,3.370714595,0.000749735,NA
BTG2,15.48028533,-1.895376395,0.574052437,-3.301747842,0.000960844,NA
S100A12,16.11468285,-7.01772501,2.145123224,-3.271478734,0.001069866,NA
EPSTI1,46.05536898,1.326850213,0.409123042,3.243156895,0.001182131,NA
INHBA,67.1813303,1.270211369,0.393846535,3.225142936,0.001259098,NA
LRG1,6.642583199,-3.252517164,1.018899146,-3.192187546,0.001411996,NA
APOL2,10.85505916,2.319887174,0.736295113,3.150757262,0.001628478,NA
MSMO1,11.34887552,2.37788928,0.755324007,3.148171194,0.001642954,NA
