,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HIST1H4C,657.3998821,-1.791071572,0.297842701,-6.013481497,1.82E-09,2.16E-05
FN1,283.0458129,1.699335807,0.309815329,5.4849959,4.13E-08,0.000246227
TMEM176B,15.73694296,6.551350073,1.296945964,5.051367024,4.39E-07,0.001379949
HIST1H1E,55.23084578,-1.832643217,0.36355808,-5.040854045,4.63E-07,0.001379949
HIST1H2AM,8.536780619,-3.635683785,0.942886955,-3.855906337,0.000115302,0.198772808
C15orf48,17.2512982,2.91778577,0.76036575,3.837345082,0.000124372,0.198772808
HIST1H4J,5.061685794,-4.225378855,1.108959386,-3.81021966,0.000138843,0.198772808
KANSL1-AS1,11.0179597,-3.079162819,0.812287908,-3.790728372,0.000150206,0.198772808
TMEM176A,7.182683803,4.514730747,1.229521678,3.671940746,0.000240716,0.286692163
CALR,81.20645901,1.108250755,0.318893096,3.475304948,0.000510273,0.544147505
LGMN,17.37258115,2.385408516,0.690222777,3.455997969,0.000548259,0.544147505
HIST1H1C,72.57153676,-1.176534015,0.344443943,-3.415748884,0.000636069,0.582736823
HIST1H1B,41.60505522,-1.316610354,0.409238314,-3.217221628,0.001294386,0.999991052
FPR3,6.555586509,3.65695075,1.161628036,3.14812542,0.001643212,0.999991052
GPR34,6.910888945,2.87081849,0.941152951,3.050320871,0.00228597,0.999991052
AC013457.1,4.075941586,4.505808814,1.482322868,3.039694599,0.002368182,0.999991052
HBEGF,5.118729393,3.518003499,1.158804813,3.035889617,0.002398271,0.999991052
LIPA,57.01675052,1.450114178,0.478481893,3.030656329,0.002440228,0.999991052
DUSP6,9.722021313,2.458717241,0.817405149,3.007954189,0.002630128,0.999991052
RETN,160.2912063,1.025008996,0.345478374,2.966926655,0.003007927,0.999991052
NMB,25.18714653,1.80960404,0.61253188,2.954301807,0.003133774,0.999991052
GCHFR,138.7601089,0.819656392,0.278948318,2.938380835,0.003299315,0.999991052
ALOX5AP,316.1105485,0.802291035,0.27898014,2.875799817,0.004030052,0.999991052
DAB2,40.74566005,1.138406878,0.397766215,2.861999925,0.00420977,0.999991052
IL1RN,14.57109986,2.248151351,0.787543203,2.854638757,0.004308581,0.999991052
HIST1H3F,5.523998315,-3.008900132,1.055718471,-2.850097081,0.004370589,0.999991052
ACTB,1004.736022,0.607554108,0.215778067,2.815643475,0.004867966,0.999991052
S100A9,242.0356078,0.871750729,0.310384308,2.808617271,0.004975476,0.999991052
AL031777.3,4.630209646,-3.117383188,1.113856954,-2.798728488,0.005130426,0.999991052
GABARAP,61.29953838,-1.131714459,0.404944277,-2.794741212,0.005194128,0.999991052
VTN,5.967271022,-2.864241877,1.048932641,-2.730625176,0.006321432,0.999991052
NDUFA3,57.33206631,-1.010729078,0.374715331,-2.69732513,0.006989899,0.999991052
RIN2,5.195753685,3.102298803,1.152940631,2.690770642,0.007128719,0.999991052
SPP1,157.7452185,5.477745818,2.045068482,2.678514616,0.00739495,0.999991052
HLA-DRB5,83.61905035,-3.639498342,1.374967201,-2.646971026,0.008121631,0.999991052
NKG7,3.540503291,-3.782964073,1.437983695,-2.63074198,0.008519869,0.999991052
CCL18,767.3594029,2.03805508,0.78135371,2.608364244,0.009097609,0.999991052
SRGN,286.0577529,0.681479812,0.261855665,2.602501694,0.009254636,0.999991052
IGFBP2,118.0076534,0.953076311,0.371619519,2.56465622,0.010327808,0.999991052
LCP1,62.33382057,1.030994953,0.402719204,2.560083908,0.010464689,0.999991052
MAP3K7CL,3.66952381,3.39062821,1.343716896,2.523320366,0.011625244,0.999991052
CTNNB1,31.8479428,1.226377658,0.489440378,2.505673238,0.012221851,0.999991052
CXCL2,7.497674138,2.330198698,0.935256016,2.491508912,0.012720178,0.999991052
FABP3,3.571703853,3.430048605,1.379626863,2.486214713,0.012911004,0.999991052
HIST1H2AL,13.6425914,-1.837293985,0.741034436,-2.47936384,0.013161697,0.999991052
IGSF6,74.97780336,1.060219316,0.427889277,2.477788933,0.013219932,0.999991052
NPC2,163.4531782,0.725130387,0.294449165,2.462667494,0.013790774,0.999991052
INHBA,39.00319025,1.11533824,0.454262292,2.455273662,0.014077737,0.999991052
TPP1,21.11084546,1.222014346,0.50528433,2.418468719,0.015585986,0.999991052
XPNPEP3,4.871061633,-3.054895081,1.26461459,-2.415672811,0.015706168,0.999991052
TMSB4X,2155.978266,0.59113096,0.245698843,2.405916738,0.016131941,0.999991052
CD44,64.36824976,0.896252133,0.37255487,2.405691632,0.016141884,0.999991052
CCL3,5.242041427,3.350876868,1.406196594,2.382936272,0.017175167,0.999991052
BCL2A1,25.85253159,1.250710192,0.526509916,2.375473196,0.017526465,0.999991052
ABHD16A,3.941895359,-2.902876888,1.226942261,-2.365944169,0.017984156,0.999991052
HIST1H1D,100.3296865,-0.800447176,0.339428307,-2.358221634,0.018362726,0.999991052
CYP27A1,71.62598953,-0.81199165,0.344823494,-2.354803727,0.018532491,0.999991052
ALDH2,282.849729,-0.580569624,0.247792066,-2.342970997,0.01913087,0.999991052
HIST1H2BC,5.67369553,-2.516968013,1.076720875,-2.337623492,0.019406788,0.999991052
TREM2,23.41981742,1.262415885,0.540448039,2.335869117,0.019498064,0.999991052
FKBP1A,70.11142812,0.793501478,0.34217246,2.319010356,0.020394475,0.999991052
LY96,36.40956118,0.97575373,0.420775843,2.318939516,0.020398316,0.999991052
GBP1,27.43255213,1.159507127,0.503822425,2.301420241,0.021367889,0.999991052
EMP3,172.708014,0.810415647,0.352444372,2.299414349,0.021481422,0.999991052
SRSF2,24.49077327,1.139481862,0.504682271,2.25782027,0.023956867,0.999991052
EIF4EBP3,2.721607531,-2.966596539,1.317086312,-2.252393417,0.024297421,0.999991052
FLNA,34.32870171,0.973451834,0.43308366,2.247722378,0.024593898,0.999991052
EMP1,2.81432913,3.214642632,1.430766326,2.246797799,0.024652953,0.999991052
NEAT1,116.2631077,0.812628006,0.361765481,2.246283981,0.024685824,0.999991052
FOS,99.85735869,1.419821157,0.633471348,2.241334453,0.025004419,0.999991052
ACOT2,24.12364498,-1.233181992,0.551516745,-2.235982864,0.025352894,0.999991052
NUBP2,8.889837292,1.751336905,0.786037593,2.228057437,0.025876685,0.999991052
RNASEK-C17orf49,2.131090493,-3.630448537,1.629824236,-2.227509235,0.025913259,0.999991052
CYBB,70.45713719,0.8993968,0.404187154,2.225198873,0.026067891,0.999991052
HIST1H3C,2.291309465,-3.184942533,1.432954584,-2.222640248,0.026240068,0.999991052
AL162231.1,2.655436709,-3.360603107,1.512876867,-2.221332867,0.026328424,0.999991052
NCEH1,21.25954581,1.205051849,0.543110144,2.218798273,0.026500452,0.999991052
PNRC1,40.90526064,-0.997595485,0.451446601,-2.20977516,0.027120771,0.999991052
UQCRB,117.7192307,0.708989217,0.322544012,2.198116196,0.027940827,0.999991052
MNDA,174.8055953,0.71282903,0.325046866,2.193003852,0.028307102,0.999991052
CCL13,2.482004637,3.772938399,1.724849957,2.187400929,0.028713268,0.999991052
TCEA3,6.470900387,-1.940326597,0.888663327,-2.183421479,0.029004786,0.999991052
HYI,29.62403064,-0.962650458,0.445343104,-2.161592824,0.030649575,0.999991052
ACOT1,3.76660283,-2.775388014,1.284877266,-2.160041342,0.030769469,0.999991052
PSMA4,65.75225419,0.730796609,0.340021038,2.149268799,0.031613098,0.999991052
KLF6,46.90582597,0.813896354,0.379220972,2.146232448,0.031854438,0.999991052
HIST1H3G,14.95050523,-1.388050066,0.646843316,-2.145882986,0.031882316,0.999991052
AXL,20.92286095,1.219561138,0.568398626,2.145608876,0.031904197,0.999991052
SNHG7,13.70512779,-1.407742429,0.656522174,-2.144242015,0.0320135,0.999991052
SH3BGRL3,263.2776613,0.554333774,0.259190095,2.138715116,0.032458748,0.999991052
CLEC7A,29.56934497,1.125171075,0.52778069,2.131891324,0.033015782,0.999991052
IL3RA,26.99181888,2.17371542,1.022310271,2.12627759,0.033480153,0.999991052
TYMP,49.88908628,0.807548629,0.380697553,2.121234095,0.033902107,0.999991052
TKT,231.7713705,-0.601591897,0.283660996,-2.120812895,0.033937551,0.999991052
CAPZA1,34.46264832,1.017785142,0.480416822,2.118546012,0.034128852,0.999991052
SLC2A6,5.989881047,2.129105603,1.005927752,2.116559165,0.034297279,0.999991052
MARCKS,13.95215104,1.635105911,0.774843329,2.110240675,0.034837631,0.999991052
FADS1,19.7139687,1.117203359,0.529957555,2.108099694,0.035022367,0.999991052
CAP1,63.33320699,0.709379482,0.336518166,2.107997586,0.035031198,0.999991052
SCPEP1,50.53671704,0.924319286,0.438652918,2.107176878,0.03510225,0.999991052
PHKG1,4.036949836,2.403780005,1.147039287,2.095638775,0.036114247,0.999991052
CLEC5A,2.245908479,3.569767894,1.706850414,2.091435702,0.036489025,0.999991052
MIF,24.29348445,-1.058554787,0.50745821,-2.08599401,0.036979166,0.999991052
HIST1H2AJ,46.69292405,-2.260572625,1.083922876,-2.085547481,0.037019633,0.999991052
FBP1,302.4274574,0.686292422,0.329123211,2.085214291,0.037049853,0.999991052
HIST2H2AC,42.79462824,-1.052285547,0.504824705,-2.084457313,0.037118589,0.999991052
MSR1,62.34777758,0.817398482,0.393394659,2.077807776,0.037727067,0.999991052
NETO2,8.765435587,1.643010901,0.791217781,2.076559629,0.037842222,0.999991052
ADH5,28.32916408,-0.909690982,0.440171011,-2.066676266,0.038764669,0.999991052
ITGAM,4.876140999,2.096948065,1.015021352,2.065915224,0.038836485,0.999991052
CTSZ,344.1627685,0.567259691,0.276715757,2.049972494,0.040367115,0.999991052
GTF3C6,28.23445878,0.979987334,0.478604057,2.047595127,0.040599687,0.999991052
S100A1,3.661916669,-2.492868319,1.222961935,-2.038385863,0.041511359,0.999991052
AC011899.2,9.828621097,-1.718713949,0.845102738,-2.033733737,0.041978449,0.999991052
GLDN,20.57943572,1.108984916,0.547858395,2.024218169,0.042947709,0.999991052
TLK2,3.053797155,2.587361266,1.280781617,2.020142413,0.043368618,0.999991052
CCL4,5.485031558,2.552663207,1.268585608,2.012212018,0.044197592,0.999991052
TNFAIP6,6.45155573,3.762831884,1.876982138,2.004724396,0.044992519,0.999991052
EIF5AL1,2.038403597,-3.07306399,1.533850803,-2.003496027,0.045124074,0.999991052
PAGR1,2.166940772,-2.841335042,1.422391401,-1.997576082,0.045762638,0.999991052
CFL1,354.7281746,0.492514181,0.246562079,1.997526072,0.045768065,0.999991052
TOMM22,15.57132859,1.182243865,0.599620647,1.971653027,0.048649229,0.999991052
VAMP5,15.16925272,1.182916104,0.602051206,1.964809791,0.049436257,0.999991052
IGKC,2.343303547,-3.556026655,1.810017741,-1.964636354,0.049456341,0.999991052
SEC22B,9.806525341,1.532382306,0.780837814,1.962484755,0.049706074,0.999991052
RBM23,6.811145629,1.698340392,0.86564898,1.96192733,0.049770945,0.999991052
NME4,10.32081949,-1.377451256,0.703765758,-1.957258136,0.050317127,0.999991052
CD47,62.43120822,0.665877978,0.342217972,1.9457715,0.051682194,0.999991052
SAT1,118.4934484,0.624630422,0.322826329,1.934880665,0.053004941,0.999991052
EMC10,15.88361662,1.149396269,0.597363901,1.92411404,0.054340291,0.999991052
TMED10,49.08397935,0.700564449,0.366918448,1.909319231,0.056220923,0.999991052
