,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GZMK,38.3518259,-2.294306477,0.420421603,-5.457156481,4.84E-08,4.56E-05
HIST1H1E,21.83597995,-2.133876068,0.468571814,-4.554000063,5.26E-06,NA
KLF2,29.79691561,-1.751583472,0.421227339,-4.158285347,3.21E-05,0.008446254
LGALS1,238.9453117,1.075454827,0.264264727,4.069611702,4.71E-05,0.008867721
MT2A,58.47074332,-1.300524167,0.361709669,-3.595491854,0.000323779,0.03816548
AC058791.1,15.92101567,2.261385892,0.649865246,3.479776627,0.000501832,NA
TRGC2,34.90597213,-1.618795164,0.499538895,-3.240578824,0.001192873,0.092849445
APOBEC3C,32.5600362,1.418362377,0.447891358,3.166755403,0.001541499,0.092849445
CD8B,44.56346301,-1.338798966,0.425216618,-3.148510454,0.001641049,0.092849445
KLRD1,24.92657155,-1.329868194,0.425622305,-3.124526552,0.001780914,NA
C1orf56,21.14955876,1.575805459,0.509645998,3.091960819,0.001988391,NA
S100A4,1073.225704,0.492648074,0.159577464,3.087203307,0.002020494,0.095140637
KLF6,119.9468183,0.910091116,0.2971026,3.063221649,0.002189678,0.095140637
N4BP2L2,58.46256277,1.194053042,0.390097452,3.060909618,0.002206657,0.095140637
RBPJ,56.9823368,0.923818044,0.304589356,3.032995167,0.002421395,0.095140637
CYSLTR1,6.568239259,3.300786044,1.115823432,2.958161614,0.003094798,NA
CD40LG,31.89306195,1.130842708,0.385217805,2.935593039,0.003329108,0.125573939
PABPC1,73.33325481,-0.83165267,0.286572761,-2.902064615,0.003707121,0.129474622
ANKRD28,11.45780432,1.97474743,0.694995014,2.841383593,0.004491825,NA
FOS,57.89501441,1.056926068,0.373049752,2.833204046,0.004608396,0.149852323
HSPA5,51.67196793,-0.866982096,0.311760055,-2.780927449,0.005420385,0.161769032
CD8A,42.93339817,-1.082657172,0.392291319,-2.759829541,0.005783153,0.161769032
NDUFA3,43.13195986,-1.024650365,0.371939414,-2.754885141,0.005871274,0.161769032
PTGER2,6.729050956,-2.370577229,0.86416594,-2.743196785,0.006084421,NA
KLRB1,54.84355487,-1.091504934,0.397969331,-2.742686052,0.006093892,0.161769032
S100A10,361.463319,0.561730707,0.205138199,2.738303784,0.0061757,0.161769032
IFITM1,43.01516892,-1.038543484,0.383280329,-2.709618536,0.006736063,0.17167858
EEF1A1,1046.491149,-0.503435253,0.186676903,-2.696826685,0.007000369,0.173719694
HIST1H1D,33.95393757,-1.227088737,0.459789347,-2.668806369,0.007612132,0.179456012
CCL4L2,10.96396887,-1.6323507,0.612830184,-2.663626469,0.007730335,NA
MIF,45.6228155,-0.89412817,0.338634262,-2.64039488,0.008280948,0.185926994
TMEM120B,10.3478079,1.824561771,0.691508969,2.638522208,0.008326825,NA
CAPZA2,14.39622543,1.464502909,0.558808499,2.620759904,0.008773403,NA
LDHB,70.36823953,-0.737538304,0.282982009,-2.606308106,0.009152409,0.195073971
NKG7,124.6968931,-0.816818755,0.313832926,-2.602718473,0.009248787,0.195073971
GZMA,186.5493662,-0.61486697,0.237809917,-2.585539657,0.009722669,0.195073971
DDX6,28.1687735,1.056828001,0.412554421,2.561669315,0.010417045,0.203607929
GALT,2.501374625,-4.090145102,1.598821544,-2.55822491,0.010520802,NA
SQLE,17.33213143,1.316950501,0.517451342,2.545071187,0.010925546,NA
ASB2,3.604668503,-3.096241932,1.219819465,-2.538278836,0.011139919,NA
IFI16,41.26459132,0.912616486,0.359781021,2.536588742,0.011193837,0.207023426
CLU,14.0346547,1.41350153,0.563003509,2.510644264,0.012051107,NA
RASGRP1,14.9467396,1.439992869,0.573674947,2.510119843,0.012069019,NA
MSR1,7.271044124,2.222489353,0.888611291,2.501081606,0.012381464,NA
NDUFA7,13.36089792,-1.525919088,0.614779842,-2.482057777,0.013062609,NA
GATD3A,1.974887398,4.118453957,1.661437232,2.478850166,0.013180666,NA
S100A8,18.99264371,-1.151510619,0.467316614,-2.46409091,0.013736127,NA
C1orf162,27.34413925,1.196577133,0.486437464,2.459878652,0.0138984,0.23752358
SAMD9,22.17054681,1.081899875,0.440945079,2.453593265,0.014143686,NA
C3orf14,1.942712955,4.082984339,1.669633477,2.445437513,0.014467652,NA
POLR2J3.1,16.644442,1.3993784,0.573797906,2.438800118,0.014736117,NA
AHNAK,54.59682383,0.719135155,0.29643447,2.425949837,0.015268381,0.252597945
PNRC2,23.5999405,-1.071204729,0.443811299,-2.413649071,0.015793666,NA
PCSK1N,16.38921499,4.063364638,1.685077153,2.411381955,0.015892195,NA
KANSL1-AS1,10.18037832,-1.776494547,0.737765896,-2.407938014,0.016042905,NA
ARID1B,12.14010033,1.513257091,0.630501277,2.400085688,0.016391234,NA
FOXP1,14.22200255,1.443671494,0.601778322,2.399008806,0.016439519,NA
EEF1D,208.163269,-0.461658148,0.193439726,-2.386573626,0.017006202,0.276497383
SEPSECS,1.52241874,-4.451907115,1.866355361,-2.385348047,0.01706297,NA
RBM26,8.198669903,1.835609425,0.772698052,2.375584383,0.017521186,NA
GCLM,8.889316735,-1.610448431,0.679621931,-2.369623988,0.017806184,NA
LRRC75A,7.402321807,2.049670716,0.867709836,2.362161441,0.018168728,NA
TRBC1,113.1639306,-0.558176416,0.236979134,-2.35538212,0.018503667,0.295745048
PTGER4,17.78686368,1.182457333,0.502894707,2.351302003,0.018707843,NA
IFNG,36.14628825,1.077628417,0.46115019,2.336827438,0.019448159,0.305660225
GLRX,24.42773096,1.042914026,0.447720442,2.32938666,0.019838591,NA
HLA-DRB5,3.794214738,-3.185934931,1.37037886,-2.324857033,0.020079606,NA
PHLDA1,12.08997437,1.480996817,0.637610699,2.322728929,0.020193719,NA
GBP3,7.301309915,1.871968543,0.809588072,2.312248174,0.020764011,NA
