,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NMB,369.4732713,1.65882452,0.250147108,6.631395948,3.33E-11,3.73E-07
MIF,267.441524,-1.448306245,0.244843139,-5.915241291,3.31E-09,1.86E-05
C1orf56,99.33903913,1.625615572,0.285418256,5.695555683,1.23E-08,4.59E-05
TCEA3,82.7841646,-1.830954606,0.330045816,-5.54757708,2.90E-08,8.12E-05
FN1,1623.6518,1.17870029,0.215003586,5.48223548,4.20E-08,9.41E-05
SDC2,41.75222215,2.955657148,0.549509432,5.378719593,7.50E-08,0.000140133
CEBPD,137.6456965,-1.288641427,0.241444734,-5.337210748,9.44E-08,0.000151128
GATD3A,17.64066627,3.604399218,0.692199933,5.207164931,1.92E-07,0.000268638
IL32,27.88872338,-2.863113313,0.585643907,-4.888829677,1.01E-06,0.001232411
G0S2,16.89793879,3.73919206,0.767340422,4.872924654,1.10E-06,0.001232411
AC008637.1,23.24635752,2.882561088,0.60011089,4.803380737,1.56E-06,0.001589588
RASGEF1B,174.9556411,1.152550051,0.241125145,4.779883281,1.75E-06,0.001638208
NDUFA7,199.7414329,-1.049235628,0.222469102,-4.716320681,2.40E-06,0.002070444
SERINC2,67.9997195,1.539580881,0.340927072,4.515865733,6.31E-06,0.004417256
GZMA,14.64760566,-3.089758865,0.693118182,-4.457766285,8.28E-06,0.00546015
CST7,11.84950268,-3.867862658,0.871352926,-4.438916247,9.04E-06,0.005629715
IFITM1,7.744900198,-4.927649581,1.12485538,-4.380696106,1.18E-05,0.0069785
GZMB,6.369114896,-5.332263619,1.224031724,-4.356311617,1.32E-05,0.007412547
CCL18,8824.434788,1.847015465,0.430111255,4.294273735,1.75E-05,0.009354203
LILRB4,151.9449722,1.316067655,0.313811533,4.193815451,2.74E-05,0.013974398
HIST1H1E,37.70515812,-1.637163132,0.391374297,-4.183113572,2.88E-05,0.014012127
S100A12,7.567644027,-4.202456042,1.009310137,-4.163691502,3.13E-05,0.014623785
MARCO,5622.045902,-0.611216255,0.14742066,-4.146069166,3.38E-05,0.015031244
GZMK,6.180416325,-5.165935932,1.248085815,-4.139087127,3.49E-05,0.015031244
ETS1,8.808525726,-3.688686425,0.894006992,-4.126015186,3.69E-05,0.015321872
PAM16,10.53765231,-3.673274325,0.895139545,-4.10357731,4.07E-05,0.01628404
CCL5,27.52053543,-2.100067792,0.516025768,-4.06969559,4.71E-05,0.018193523
C1QC,5444.560169,-0.720109879,0.180975692,-3.979042009,6.92E-05,0.024704134
MGLL,219.6284529,-0.791827565,0.199110066,-3.97683341,6.98E-05,0.024704134
CPVL,679.1164573,-0.688708001,0.173282495,-3.974481108,7.05E-05,0.024704134
CD37,1027.010444,-0.755856743,0.191784082,-3.941186014,8.11E-05,0.027537621
ATF3,20.55349981,2.430644148,0.621627572,3.910129243,9.22E-05,0.03040887
FGFBP2,5.293916452,-5.756966271,1.475540783,-3.901597528,9.56E-05,0.030601025
SNCA,18.77532223,2.520937998,0.649719607,3.8800399,0.000104439,0.032515445
