,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
C15orf48,55.28012542,2.291135499,0.422066461,5.428376123,5.69E-08,0.000392939
GABARAP,224.3947572,-1.562119024,0.296331881,-5.271518612,1.35E-07,0.000395417
C1orf56,41.13017557,2.1900254,0.416623243,5.256608786,1.47E-07,0.000395417
NME2,25.01880345,-2.806771043,0.541864244,-5.179841766,2.22E-07,0.000478748
TCEA3,20.30293994,-3.359987964,0.690480936,-4.86615602,1.14E-06,0.001863649
CRIP1,464.0937145,-1.326440158,0.274985199,-4.823678381,1.41E-06,0.001863649
CTNNB1,151.3329138,1.334930201,0.277379218,4.812653986,1.49E-06,0.001863649
HIST1H4C,58.42239982,-2.21432849,0.46094418,-4.803897276,1.56E-06,0.001863649
C1QC,2116.351304,-0.848638077,0.178127122,-4.76422719,1.90E-06,0.00204347
CXCL10,13.65978103,4.069346995,0.87515603,4.649853118,3.32E-06,0.003254979
RNASEK,37.07501289,-1.974579787,0.436505423,-4.523608833,6.08E-06,0.005460824
LRRC75A,49.95345313,1.86774055,0.420165824,4.445246241,8.78E-06,0.007279245
MIF,83.83960338,-1.41856364,0.325000722,-4.364801497,1.27E-05,0.009381305
ALDH2,1420.300215,-0.820210583,0.188157012,-4.359181595,1.31E-05,0.009381305
LSP1,113.9754822,-1.330727373,0.308322466,-4.316024676,1.59E-05,0.010702484
MSMO1,47.32266741,1.816019059,0.422482672,4.298446253,1.72E-05,0.010905786
APOC1,4846.45558,-0.78773041,0.188218004,-4.185202227,2.85E-05,0.0170615
DUSP1,229.9600837,1.263417334,0.317860443,3.97475484,7.05E-05,0.039968413
ACOT2,92.89324605,-1.430867138,0.365229725,-3.917718193,8.94E-05,0.048177345
GATD3A,7.372647775,3.918232467,1.027216298,3.814418127,0.000136504,0.066880844
MAP3K7CL,18.7454552,2.433154416,0.657575442,3.700190518,0.000215438,0.093848171
HP,320.6331484,-1.797118394,0.485755605,-3.699634907,0.00021591,0.093848171
NDUFA3,200.3901841,-0.926988568,0.250701402,-3.697580305,0.000217664,0.093848171
NDUFA7,82.1347581,-1.196458285,0.325675288,-3.673776698,0.000238992,0.099080407
EBP,39.33718603,1.44474088,0.408880655,3.533404823,0.000410244,0.16377843
MARCO,1928.131217,-0.626846333,0.182491187,-3.434940308,0.000592684,0.228162313
HNRNPH1,90.30660605,1.004803075,0.29528144,3.402865671,0.000666831,0.247854023
FAM213A,39.64114976,1.592286683,0.474604294,3.354977405,0.000793715,0.285181681
FADS2,5.846878841,3.669519598,1.108321517,3.310880049,0.000930031,0.314205837
CTSS,1267.26677,-0.6234207,0.188445966,-3.308219922,0.00093891,0.314205837
FADS1,17.7525707,2.094306774,0.634364114,3.30142694,0.000961944,0.314205837
B3GNT5,50.64821565,1.32396227,0.404146813,3.275943858,0.001053095,0.333862065
RNF130,188.4420383,-0.784844175,0.241560753,-3.249055015,0.001157891,0.354895549
SLPI,3.484892182,-4.771393135,1.471563742,-3.242396506,0.00118529,0.354895549
TRBC2,6.372842587,-3.810630251,1.180663565,-3.227532689,0.001248628,0.363755631
FXYD5,181.2668485,-0.816547199,0.25418377,-3.212428542,0.001316179,0.373344525
FPR2,20.80738311,1.900518164,0.593858404,3.200288404,0.001372901,0.379448812
CD59,98.17797478,-0.919107895,0.288381306,-3.187127164,0.001436936,0.380480214
SIGLEC12,5.851549971,-4.287583204,1.348481962,-3.17956289,0.001474974,0.380480214
AC013457.1,16.74152186,3.890652269,1.224213921,3.178082036,0.001482528,0.380480214
TMEM258,224.5306415,-0.726622436,0.229969071,-3.159652867,0.001579572,0.39050989
SQLE,22.35640862,1.696185014,0.537279112,3.156990428,0.001594066,0.39050989
RBM47,61.57544363,1.09731429,0.348533458,3.148375759,0.001641805,0.39326702
MGLL,50.08853624,-1.196435672,0.38271928,-3.126144238,0.001771147,0.415025848
MT1G,210.5601371,7.002268685,2.240583051,3.125199345,NA,NA
COMMD6,337.2918284,-0.642091067,0.2059706,-3.117391845,0.001824589,0.418451974
Mar-01,61.1283525,1.071706778,0.348557751,3.07468927,0.00210722,0.459588212
SNHG25,10.91405202,-2.50793623,0.816593143,-3.071218822,0.002131869,0.459588212
RASGEF1B,54.80601935,1.192814995,0.389553009,3.062009451,0.002198565,0.464673202
HLA-DRB5,553.8490055,-4.494309186,1.471561826,-3.0541083,NA,NA
CD302,102.6799339,-0.862607833,0.283966905,-3.037705516,0.002383868,0.494148308
HMGCS1,17.82086865,1.916724942,0.633989877,3.023273732,0.002500559,0.508557177
CYP27A1,325.877386,-0.750275058,0.24884925,-3.014978176,0.002569977,0.512996058
IL1B,42.09583288,1.292308854,0.431635634,2.993980923,0.002753632,0.52977261
CTSH,336.3992237,-0.731827145,0.244862907,-2.988721955,0.002801469,0.52977261
MGST1,62.50251699,1.327611387,0.445950136,2.977039985,0.00291046,0.540894027
KCNMA1,23.76740665,-1.856430839,0.626782752,-2.961840979,0.003058057,0.557580005
RPP21,12.99991497,-2.172166314,0.736193284,-2.950538075,0.003172209,0.557580005
STARD4,11.38424137,2.186983518,0.742316801,2.94615926,0.003217467,0.557580005
NCEH1,110.37641,0.88390598,0.300423418,2.942200667,0.003258887,0.557580005
S100A8,706.0232403,-1.350435174,0.462361941,-2.920731693,0.003492104,0.588146751
CD74,6575.735579,-0.455724491,0.156764956,-2.907055908,0.00364848,0.60433796
CCL18,1123.435534,1.72190727,0.594900704,2.894444837,0.003798296,0.611072195
FDPS,78.23223384,1.018250215,0.352921111,2.885206304,0.003911572,0.620041749
PTTG1IP,121.3517741,-0.877412676,0.304842719,-2.878247116,0.003998918,0.624700464
AC008637.1,9.982024606,2.417439788,0.844001183,2.864261139,0.004179833,0.643634517
NKG7,15.10930578,-2.261758526,0.794169887,-2.847953016,0.004400142,0.661226501
ITGA6,5.187823476,3.182078687,1.117792424,2.846752777,0.004416765,0.661226501
HIST1H1E,17.40375801,-1.69870772,0.598041158,-2.840452862,0.004504953,0.665190256
TFRC,224.6807256,0.652261636,0.231604337,2.81627557,0.004858397,0.707684674
TMEM236,10.20686732,2.040663464,0.727283423,2.805870997,0.005018078,0.721198138
IDI1,48.0984024,1.081368866,0.386169142,2.800246703,0.005106356,0.724229163
OST4,391.8366642,-0.593998835,0.213882829,-2.777216095,0.005482671,0.757663016
GNG10,25.02812703,-1.350798996,0.488144723,-2.767210078,0.005653831,0.75811694
