,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HIST1H1E,6.763467529,-2.700655639,0.920378254,-2.934288839,0.003343129,0.999736701
LRRC75A,4.162487491,3.636472416,1.343761174,2.706189527,0.006806019,0.999736701
N4BP2L2,17.46682682,1.401745707,0.53402595,2.624864405,0.008668348,0.999736701
DDX55,1.822593135,-4.343510788,1.728146836,-2.513392206,0.011957631,0.999736701
VAMP3,1.809978809,-4.33608742,1.72984904,-2.506627642,0.012188904,0.999736701
TMSB4X,450.543318,0.526890729,0.21543427,2.445714553,0.014456541,0.999736701
FUT7,1.694418597,-4.233419737,1.767242045,-2.395495145,0.016597934,0.999736701
HSP90AA1,30.17415801,0.94072824,0.394901375,2.382185276,0.017210236,0.999736701
HNRNPH1,13.68739734,1.341588112,0.565542532,2.372214354,0.017681829,0.999736701
IL7R,80.45273636,-0.634456353,0.268163511,-2.365930963,0.017984798,0.999736701
RNMT,6.233170851,2.0239852,0.869334983,2.328199415,0.019901517,0.999736701
APOBEC3C,5.474410138,2.207985774,0.954119558,2.31416048,0.020658921,0.999736701
HIST1H4C,24.2049418,-2.15002839,0.944599825,-2.276126178,0.022838459,0.999736701
PLSCR1,1.578858385,-4.123269102,1.815535228,-2.271103881,0.02314069,0.999736701
MALAT1,3586.234173,0.444953068,0.199360555,2.231901233,0.025621491,0.999736701
CYB561A3,2.306702815,-3.572946076,1.628443185,-2.194087033,0.028229153,0.999736701
IL32,102.8605785,0.583429351,0.268150581,2.175752705,0.029573757,0.999736701
Z93930.2,1.4357231,-4.009261183,1.844321715,-2.173840469,0.029717118,0.999736701
COX7C,69.00958268,-0.613550075,0.282354199,-2.17298017,0.02978181,0.999736701
SUB1,34.38433279,0.857568611,0.395731858,2.167044662,0.030231449,0.999736701
BICDL1,1.434878124,3.990715652,1.860272625,2.145231618,0.031934333,0.999736701
KDM6B,1.509371191,4.01033721,1.875833673,2.137895949,0.032525189,0.999736701
RGS1,3.538505375,2.630988629,1.235086253,2.13020639,0.033154578,0.999736701
PSMC1,2.853951456,-2.923866719,1.39659228,-2.093572162,0.03629811,0.999736701
SWI5,1.392023676,3.914999583,1.87644369,2.086393322,0.036943009,0.999736701
FAU,305.9130038,-0.428050215,0.205314492,-2.084851443,0.037082787,0.999736701
TAX1BP3,1.379116204,-3.932949195,1.886690804,-2.084575378,0.037107861,0.999736701
TNFRSF18,4.877887326,2.100697096,1.021444876,2.056593701,0.039725325,0.999736701
TMEM204,3.235674366,-2.513077773,1.23098139,-2.041523773,0.041198793,0.999736701
CCL4,8.719268434,1.875028516,0.921956685,2.033749033,0.041976906,0.999736701
TSEN34,2.062968064,-3.379736915,1.662209342,-2.033279942,0.042024248,0.999736701
ARL8B,1.919520577,3.379586733,1.676620578,2.015713499,0.043829943,0.999736701
FOXP1,10.06178783,1.389680108,0.690195752,2.013457928,0.044066477,0.999736701
FBXL8,1.397880122,-3.979849987,1.991077722,-1.998842106,0.04562544,0.999736701
KIF5B,8.819820944,1.351201569,0.67713034,1.995482243,0.045990309,0.999736701
PCSK1N,8.170727575,1.954042621,0.981114325,1.991656397,0.046408771,0.999736701
GRPEL1,3.25426164,-2.485983039,1.249303516,-1.989895175,0.046602484,0.999736701
CAPZA1,6.876105228,1.599424269,0.804712567,1.987572127,0.046859032,0.999736701
HIST1H1D,21.29188347,-2.106215665,1.063661542,-1.980155887,0.047686015,0.999736701
PTP4A3,1.349169229,3.838780589,1.941136713,1.97759414,0.047974511,0.999736701
MED19,2.028406737,3.361584169,1.704638853,1.972021324,0.048607172,0.999736701
