,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CXCL10,102.115822,6.766945929,0.805460988,8.401332934,4.41E-17,5.57E-13
CCL15,12.36777838,-21.95071384,3.913123564,-5.609512064,NA,NA
HSPA1A,101.6871357,-1.325335665,0.296249444,-4.473715276,7.69E-06,0.048460165
LPL,84.09856639,1.418672297,0.327288279,4.334626042,1.46E-05,0.061362343
TRBC2,12.16725321,-2.748065156,0.701691137,-3.916345826,8.99E-05,0.269622639
C1QC,950.0040909,-0.918361614,0.237038474,-3.874314573,0.000106925,0.269622639
CRIP1,555.6253993,-1.301598401,0.34503344,-3.772383345,0.000161696,0.301502099
BHLHE41,51.76880706,1.283133058,0.341260281,3.759983589,0.000169925,0.301502099
NKG7,22.98071017,-2.227995228,0.597281639,-3.730225543,0.000191308,0.301502099
TMEM176B,112.5044234,1.403043598,0.395518832,3.547349673,0.000389128,0.533943591
CD7,5.828903379,-3.269516133,0.950048664,-3.441419643,0.00057867,0.6632614
HIST1H1E,23.24114748,-1.495729551,0.449759645,-3.325619734,0.000882222,0.837113492
GIMAP7,29.67550998,-1.307201121,0.396283634,-3.298650277,0.000971509,0.837113492
DDIT4,13.05034854,-2.012736482,0.611065452,-3.293814885,0.000988376,0.837113492
FN1,1127.50613,0.966489631,0.293616486,3.291673581,0.000995931,0.837113492
HLA-DRB5,295.8567292,-4.518556566,1.377741189,-3.279684604,NA,NA
LINC02345,48.89105367,1.307164046,0.407689486,3.206273626,0.001344661,0.931852165
CD99,259.8879301,-0.800873542,0.250761228,-3.193769427,0.001404282,0.931852165
CTNNB1,97.39331922,1.018657243,0.328487006,3.101057954,0.001928305,0.99937919
ARRDC4,36.97598917,1.273588507,0.412068615,3.09071951,0.001996722,0.99937919
VIM,5683.422541,-0.699373583,0.226885828,-3.082491261,0.002052758,0.99937919
FABP3,20.320193,1.951883239,0.634366356,3.076902205,0.002091639,0.99937919
CCL5,34.39261844,-1.585400463,0.517885507,-3.061295287,0.002203816,0.99937919
SOAT1,38.42980711,1.165236864,0.385156075,3.025362804,0.00248335,0.99937919
ALDH2,479.3939941,-0.900537985,0.298363534,-3.018257538,0.002542328,0.99937919
CHML,13.53549644,1.952963992,0.647975174,3.013948789,0.002578713,0.99937919
HAMP,15.68151128,5.637139791,1.901374409,2.964771043,0.003029083,0.99937919
FABP4,405.2827126,-1.052333747,0.35528144,-2.961972192,0.003056754,0.99937919
SPRED1,52.32392393,1.109364184,0.374710045,2.960593661,0.003070467,0.99937919
RGS1,12.34249604,2.384942421,0.810932636,2.940987101,0.003271682,0.99937919
